tender_no,title,organization,status,closing_date
2514210/B-2512/340313,Interthane 870 Light Grey,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2514183/B-2512/340311,Paint Intergard 400 Dark Grey,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2514179/B-2512/340310,Paint Enamel Interlac 497 White,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2513158/B-2512/340304,ROPE SISAL HAWSERLAID (03 x LINE ITEMS),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2513161/B-2512/340303,ROPE SISAL HAWSERLAID (02 x LINE ITEMS),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2514180/B-2511/340263,INTERPRIME 198 RED,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2513164/B-2512/340321,ROPE NYLON HAWSERLAID (03 x LINE ITEMS),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2590022/R-2512/310332,PROCUREMENT / COMMISSIONING OF CT SCAN MACHINE,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 6, 2026"
,Repairing of 60 Poles..,"Special Communications Organization,Skardu, Pakistan",,"Dec 17, 2025"
,OF 45x GPON POLES IN KHAPLU EX.. OF 45x GPON POLES IN KHAPLU EX,"Special Communications Organization,Skardu, Pakistan",,"Dec 17, 2025"
,Repair / Maintenance Replacement of 6 KMS Ae OFC Machlu to Haldi EX ..,"Special Communications Organization,Skardu, Pakistan",,"Dec 17, 2025"
,Repair/ Maintenance of Vehicles ..,"National Institute of Health (NIH),Islamabad, Pakistan",,"Dec 16, 2025"
DP/CBI Spares/2025,COMPUTER BASED INTERLOCKING (CBI) SYSTEM Corrigendum,"Pakistan Railways,Lahore city, Pakistan",,"Dec 16, 2025"
SSGC/SC/NR/EPADS/14137,Construction /Installation of Deep Well Ground Bed at Distri,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 16, 2025"
SSGC/SC/PT/EPADS/14124,Civil Works Construction of 03 Nos. Cps Solar Room at Hydrab,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 5, 2026"
SSGC/LP/EPADS/PT/2108974,SSGC/LP/EPADS/PT/2108974 (DORADO 3000 V6 NAS Storage),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 16, 2025"
SSGC/LP/EPADS/PT/2108970,SSGC/LP/EPADS/PT/2108970 (Computer Server),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
FP/T-0002 (Corrigendum),"Supply & Installation, Commissioning of Complete Security Paper Manufacturing Plant Machinery","Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 7, 2026"
SSGC/LP/NT/PQ/PT/2110981,SSGC/LP/NT/PQ/PT/2110981 (GAS REGULATOR),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 16, 2025"
NADRA-HQ-RFB-220/2025,"SUPPORT, WARRANTY AND SUBSCRIPTIONS RENEWAL FOR FORTINET WEB","National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Dec 16, 2025"
FOB/C&F & FOR (Only for Local Manufacturers SRO 827(1)/2001),Assorted Valves:,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 16, 2025"
FOB/C&F & FOR (Only for Local Manufacturers SRO 827(1)/2001),Metallic Blast Cleaning Abrasives,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 16, 2025"
SSGC/LP/EPADS/PT/2108975,SSGC/LP/EPADS/PT/2108975 (POLYETHYLENE PIPE (PE-100) 180 MM),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
SSGC/LP/EPADS/PT/2108978,SSGC/LP/EPADS/PT/2108978 (POLYETHYLENE PIPE (PE-100) 40 MM),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
2583042/R-2511/380185,NIV Dental (48 x Items),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 16, 2025"
2583041/R-2511/380184,NIV Dental (39 x Items),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 16, 2025"
2583040/R-2511/380183,NIV Dental (80 x Items),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 16, 2025"
2590284/R-2512/310328,PATIENT CARDIAC MONITOR,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 16, 2025"
,Misc Items,"Equipment Stores Depot (ESD),Jhelum, Pakistan",,"Dec 15, 2025"
Hiring of Contractor/Firm for Provision of SemiSkilled Labor,Provision of Semi-Skilled Labour for GEPCO,"Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Dec 15, 2025"
LET/184/25,PHOTOCOPIER,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 29, 2025"
2025-26/Estate/6xNRCs,"Rental office space required for NADRA Offices, KP","National Database and Registration Authority NADRA,Peshawar, Pakistan",,"Jan 6, 2026"
LE-107/25,MIsc. Electrical Items Supply of Misc. Electrical Items,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 1, 2026"
LP/T-2364/25,Supply of Digital Thermal Offset Plates - Positive & supply of Kodak 182 Thermal Plate Developer (CAT 9259300) Packaging,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 15, 2025"
,Auction,"Ministry of Water Resources,Islamabad, Pakistan",,"Dec 15, 2025"
01,Pre-qualification of Firms NHMP N-5 South-I Sukkur,"National Highway and Motorway Police (NHMP),New sukkur, Pakistan",,"Dec 15, 2025"
,Hiring firm for Support on Flight Hour Basis,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Dec 15, 2025"
Procurement of Pipe/Adjustable Wrenches of Assorted Sizes et,Pipe Wrenches etc.,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Dec 15, 2025"
01/01/Data/Center/2025/Log/PSDp,"Supply and implementation of Modern ,Resilient and Scalable data Centre..","Directorate General Immigration & Passport,Islamabad, Pakistan",,"Dec 15, 2025"
PIDCL/KPK/2025-26/P-40/01/18 - PIDCL/KPK/2025-26/P-40/ 63/80,"PCC Road, Retaining Wall, & Repair of PCC Road - Mansehra 39 Schemes, Estimated Cost Rs. 697,748 to Rs. 1,395,497","Pakistan Infrastructure Development Company Limited,Karachi east, Pakistan",,"Dec 15, 2025"
16/ LUBRICANTS /FOR/NLC/2026,LUBRICANTS,"National Logistics Corporation (NLC),Rawalpindi, Pakistan",,"Dec 15, 2025"
F-25121464125,Hiring of Two (2) Pilot Boats on Charter Basis For One (1) Y,"Karachi Port Trust,Karachi central, Pakistan",,"Dec 15, 2025"
BP-19320- FI,BRP Program Development,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 15, 2025"
DCN-17(25/26)17,Purchase of Medical Equipment Invitation to Bid for the Supply of Medical Equipment,"Atomic Energy Cancer Hospital Diagnostic Centre Narowal,Narowal, Pakistan",,"Dec 15, 2025"
01/2025-26,"TC B&R ,etc..","Military Engineering Services (Army),Khanewal, Pakistan",,"Dec 15, 2025"
12019,INVITATION TO BID SERVICE LEVEL AGREEMENT (SLA) FOR PROVISIO,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 15, 2025"
DCN-20(25/26)20,Medical Items invitation to bid for supply of medical items,"Atomic Energy Cancer Hospital Diagnostic Centre Narowal,Narowal, Pakistan",,"Dec 15, 2025"
1600-31-rb-ppra,TC For Artificer Work..,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 15, 2025"
PRD(L)/WAPDA/108(2025-26),WAPDA TARBELA 4TH EXT. HPS,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 15, 2025"
12018,INVITATION TO BIDS RENOVATION OF TERMINAL BUILDING AT NAWABS,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 15, 2025"
525011/R-2511/330210,Brush Boot Polishing,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 15, 2025"
FCS/DIK/TE/063/2025,"Razor Wire,etc..","Sui Northern Gas Pipelines Limited,Dera ismail khan (d.i. khan), Pakistan",,"Dec 15, 2025"
12017,CORRIGENDUM INVITATION TO BID PROCUREMENT OF IP-EPABX FOR SI,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 1, 2026"
FCS/MDR/Te/006/2025,Tyre Tubless..,"Sui Northern Gas Pipelines Limited,Mardan, Pakistan",,"Dec 15, 2025"
FCS/MDR/TE/005/2025,Harware Material Hardware Material,"Sui Northern Gas Pipelines Limited,Mardan, Pakistan",,"Dec 15, 2025"
FCS/MDR/ Te/007/2025,Civil Material,"Sui Northern Gas Pipelines Limited,Mardan, Pakistan",,"Dec 15, 2025"
FCS/SOA/Te/024/2025,C& W Material,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan",,"Dec 15, 2025"
FCS/SOA/023/2025,Grinder Parts,"Sui Northern Gas Pipelines Limited,Rawalpindi, Pakistan",,"Dec 15, 2025"
GPA/1.2MGD/Tend./2025-2026/01,PROCUREMENT OF CHEMICALS FOR 1.2 MGD ROD PLANT GPA,"Gwadar Port Authority,Gwadar, Pakistan",,"Dec 24, 2025"
138 (PRCL-RETRO-PPL- PD/BI)/2026,Property Damage & Business Interruption,"Pakistan Reinsurance Company Limited,Karachi central, Pakistan",,"Dec 15, 2025"
2590028/R-2512/310319,SEMI AUTOMATIC SERVO HYDRAULIC UNIVERSAL TESTING MACHINE ALO,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 15, 2025"
2590305/R-2512/310324,TEMPERATURE CALIBRATION WITH ACCESSORIES,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 15, 2025"
2590428/R-2512/310317,MICROHARDNESS TESTER ALONGWITH STANDARD ACCESSORIES AND ACCO,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 15, 2025"
2583068/R-2511/380191,NIV Cardiac,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 30, 2025"
2583039/R-2511/380182,NIV Dental,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 15, 2025"
2583063/R-2511/380186,NIV IMPLANTS,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 15, 2025"
,HR Consultancy Firm,"Ministry of National Health Services, Regulation & Coordination,Islamabad, Pakistan",,"Dec 15, 2025"
T.E No. 0003/LP/CLO/56 2. Dated: 01-12-2025.,4 x items of CLOTH / FABRIC FOR IFDS,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 15, 2025"
HEC-0329,Invitation to Bid Resource Provisioning for HEC Technical Domains,"Higher Education Commission,Islamabad, Pakistan",,"Dec 15, 2025"
"0001, 0002 & 0065-FP-JBH-56, dated 31.7.2025",Invitation to Bid PROCUREMENT OF HORIZONTAL CENTRIFUGAL PUMP,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 15, 2025"
T.E. NO.: 0005/LP/CMC/56/P-D,Procurement Of Charcoal (FOUNDARY MATERIAL),"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 13, 2025"
3CF/Adv/0005/EPAD/EC/Isld (Press)2025-2026,Tender are invited are for Misc items Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 13, 2025"
NIBAFP/ENGG/346972,REPLACEMENT OF TUBESHEET AND TUBES IN HOT WATER GENERATORS F,"National Institute of Banking and Finance (NIBAF),Islamabad, Pakistan",,"Dec 12, 2025"
CC/B.W/CC-3/Gj,Reconstruction of Collapsed/ Damaged Boundary Wall,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 12, 2025"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,TENDER FOR PROCUREMENT OF INTRINSICALLY SAFE MOBILE CAMERA,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 12, 2025"
Special Repair of Bunglow C-2 at 132kv cantt G/station etc:,As mentioned against each below,"Peshawar Electric Supply Company (PESCO),Peshawar, Pakistan",,"Dec 12, 2025"
LET/174/25,TRACTOR ACCESSORIES,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 12, 2025"
(01)/NDMS- TSHD & Hiring of HSB/2025,"Hiring of HSB,etc..","National Logistics Corporation (NLC),Rawalpindi, Pakistan",,"Dec 12, 2025"
SNT-2306/25,Portable Moisture Analyzer,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 12, 2025"
SNT-2307/125,"Compact Unit,etc..","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 12, 2025"
,HIRING OF HOTEL LAYOVER SERVICES,"Pakistan International Airline (PIA),Medina, Saudi arabia",,"Dec 12, 2025"
SNT-2313/25,Odorant Oil,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 12, 2025"
600-ADV/33/E6,"Certain Misc Civil Works,etc.. Certain Misc Civil Works,etc","Military Engineering Services (Army),Taxila, Pakistan",,"Dec 29, 2025"
IGNITE/Codi/2025-26/0020/Proc,CODE4AI - SOUTH REGION REQUEST FOR PROPOSALS (RFP),"Ministry of IT and TeleCommunication,Islamabad, Pakistan",,"Dec 12, 2025"
PIU/PRF/Consultancy,Loan 6056-PAK: Railway Improvement Project (RIP) Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 12, 2025"
30-S/216/CUI/TS/PSC/2025-26,Common User Items,"Pakistan Railways,Peshawar, Pakistan",,"Dec 11, 2025"
SN-4772/25,Stud Bolts,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 11, 2025"
603/266/E6,Const/Repair/Minor/ Maint/ Proc,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 11, 2025"
PACB/741/53032009/0959/P-1,Procurement of Stores,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 12, 2025"
,"Rehbilitation of JCO Qtrs,etc..","Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 11, 2025"
Const / Repair/ Maint/ Provn/TC/ DC..,Const / Repair/ Maint/ Provn/TC/ DC...,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 11, 2025"
LET/180/25,HYDRAULIC LIFT TROLLEY,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 31, 2025"
IGNITE/Codi/2025-26/0019/Proc,CODE4AI - CENTRAL REGION REQUEST FOR PROPOSALS (RFP),"Ministry of IT and TeleCommunication,Islamabad, Pakistan",,"Dec 11, 2025"
01/2025,Anti- Cancer and Allied /Supportive Medicines,"Public Sector Organization,Gilgit, Pakistan",,"Dec 10, 2025"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,TENDER FOR PROCUREMENT OF ANCHOR CHAIN CABLE AND SPARES FOR,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 11, 2025"
Admn-1/1/2025(R),Repair of Consular Section Roof,"Embassy of Pakistan,Paris, Pakistan",,"Dec 10, 2025"
HEC-0328,Tender Notice Auction of Scrap Items,"Higher Education Commission,Islamabad, Pakistan",,"Dec 10, 2025"
FA/S/3-2025,HIRING OF FIRM FOR FORENSIC AUDIT,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 26, 2025"
,,"Pakistan Aeronautical Complex,kamra, Pakistan Procurement of Stores    PACB/741/53032009/0959/P-1",,"Dec 12, 2025"
,,"Military Engineering Services (Airforce),Peshawar, Pakistan Certain Facilities   Certain Facilities   6000-advs bil/18/e-6",,"Dec 11, 2025"
,,"Ministry of IT and TeleCommunication,Islamabad, Pakistan CODE4AI - CENTRAL REGION    REQUEST FOR PROPOSALS (RFP)  IGNITE/Codi/2025-26/0019/Proc",,"Dec 11, 2025"
,,"Public Sector Organization,Gilgit, Pakistan Anti- Cancer  and Allied  /Supportive Medicines   Anti- Cancer  and Allied  /Supportive Medicines   01/2025",,"Dec 10, 2025"
,,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan TENDER FOR PROCUREMENT OF ANCHOR CHAIN CABLE AND SPARES FOR   FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders  PNSC/SARGODHA/SPARES/040/2025",,"Dec 11, 2025"
,,"Embassy of Pakistan,Paris, Pakistan Repair of Consular Section Roof    Admn-1/1/2025(R)",,"Dec 10, 2025"
,,"Higher Education Commission,Islamabad, Pakistan Tender Notice  Auction of Scrap Items  HEC-0328",,"Dec 10, 2025"
"0003-FP-MAA-55-A,","Steel Wire/Bar/Strip and metals non Ferrous,etc..","Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 5, 2025"
,Office Furniture,"National Bank of Pakistan,Lahore, Pakistan",,"Dec 5, 2025"
,Office Furniture..,"National Bank of Pakistan,Lahore, Pakistan",,"Dec 5, 2025"
299,"Supply of Spare Parts,etc..","State Bank of Pakistan,Karachi central, Pakistan",,"Dec 5, 2025"
,Hiring of Consultancy Services..,"Quetta Electric Supply Company (QESCO),Quetta city, Pakistan",,"Dec 5, 2025"
N/A,"Design, Supply & Installation of Reconductoring with HTLS","Hyderabad Electric Supply Company (HESCO),Hyderabad, Pakistan",,"Dec 5, 2025"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,TENDER FOR PROCUREMENT OF MOORING WIRE FOR PNSC TANKER BOLAN,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 5, 2025"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,TENDER FOR PROCUREMENT OF MOORING WIRES FOR PNSC TANKER KHAI,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 5, 2025"
,Cleaning Services..,"Consulate General of Pakistan,Chengdu, China",,"Dec 4, 2025"
11997,CORRIGENDUM REQUEST FOR PROPOSALS (RFP) CONSULTANCY SERVICES,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
0026/FP/WPN/55,Raw Material,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 4, 2025"
WAH/TE/032/2025,Misc Machinery & Capital Items Supply Of Misc Machinery & Capital Items,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Dec 29, 2025"
SSGC/SC/PT/EPADS/14105,Hiring of Services Horizontal Directional Drilling(HDD) of 2,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 6, 2026"
3521-2-10-55-FP-Capt- PUR-AA,Rotary Transfer Machine,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 3, 2025"
,Supply of Equipment and consumable Items..,"HEC Degree Awarding Universities,Lahore, Pakistan",,"Dec 3, 2025"
ADMIN.MUT.11.5.008/2025,HIRING OF VEHICLE FOR SNGPL TRANSMISSION OFFICE,"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Dec 2, 2025"
LT-19289- IA,Supply of High Density Polyethylene (HDPE) Blow Grade,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 3, 2025"
SNT-2312/25,Gas Bags ..,"Sui Northern Gas Pipelines Limited,Lahore city, Pakistan",,"Dec 3, 2025"
LE-095-25,VALVE LUBRICANTS Supply off Valve Lubricants,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 24, 2025"
PACB/741/53215033/0957/P-1,PROCUREMENT OF ANODE AGENT (550x100X3),"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
1,INTERNATIONAL MEDIA RIGHTS,"Pakistan Cricket Board,Islamabad, Pakistan",,"Dec 29, 2025"
IGNITE/SAP/2025-26/0015/Proc,SAP SKILLS DEVELOPMENT AND EMPLOYMENT FACILITATION PROGRAM Request for Proposal,"Ministry of IT and TeleCommunication,Islamabad, Pakistan",,"Jan 1, 2026"
,Spectrum Monitoring System,"Frequency Allocation Board,Islamabad, Pakistan",,"Dec 3, 2025"
LET/172/25,LOOSE TOOLS,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
SSGC/LP/EPADS/NR/2101860-5,SSGC/LP/EPADS/NR/2101860-5 (Domestic Appliances),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 9, 2026"
,ENGAGE PRIVATE PARTY TO DESIGN FGCC PROPERTIES,"Ministry of Commerce,Faisalabad, Pakistan",,"Dec 2, 2025"
6(670),Consultancy Services,"National Highway Authority (NHA),Islamabad, Pakistan",,"Dec 1, 2025"
IGNITE/NICQ/2025-26/0014/Proc,PROVISION OF SERVICES TO MANAGE NATIONAL INCUBATION CENTER REQUEST FOR PROPOSALS (RFP),"Ministry of IT and TeleCommunication,Islamabad, Pakistan",,"Dec 26, 2025"
,,"National Bank of Pakistan,Lahore, Pakistan Office  Furniture   Office  Furniture",,"Dec 5, 2025"
,,"State Bank of Pakistan,Karachi central, Pakistan Supply of Spare Parts,etc..  Supply of Spare Parts,etc..  299",,"Dec 5, 2025"
,,"Hyderabad Electric Supply Company (HESCO),Hyderabad, Pakistan Design, Supply & Installation of Reconductoring with HTLS   N/A  PK-HESCO-RECOND. HTLS -T/L-NCB/09",,"Dec 5, 2025"
,,"Consulate General of Pakistan,Chengdu, China Cleaning Services..  Cleaning Services..",,"Dec 4, 2025"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan Raw Material   Raw Material   0026/FP/WPN/55",,"Dec 4, 2025"
,,"Ministry of Defence Production,Rawalpindi, Pakistan Indigenous Development..   Indigenous Development..",,"Dec 4, 2025"
,,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan Misc Machinery & Capital Items  Supply Of Misc Machinery & Capital Items  WAH/TE/032/2025",,"Dec 29, 2025"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan Rotary Transfer Machine  Rotary Transfer Machine  3521-2-10-55-FP-Capt- PUR-AA",,"Dec 3, 2025"
,,"HEC Degree Awarding Universities,Lahore, Pakistan Supply of Equipment and consumable Items..   Supply of Equipment and consumable Items..",,"Dec 3, 2025"
,,"Pakistan State Oil,Karachi central, Pakistan Supply of High Density Polyethylene (HDPE) Blow Grade  Supply of High Density Polyethylene (HDPE) Blow Grade  LT-19289- IA",,"Dec 3, 2025"
,,"Sui Northern Gas Pipelines Limited,Lahore city, Pakistan Gas Bags ..  Gas Bags ..  SNT-2312/25",,"Dec 3, 2025"
,,"Pakistan Aeronautical Complex,kamra, Pakistan PROCUREMENT OF  ANODE AGENT (550x100X3)    PACB/741/53215033/0957/P-1",,"Dec 23, 2025"
,,"Pakistan Cricket Board,Islamabad, Pakistan INTERNATIONAL MEDIA RIGHTS  INTERNATIONAL MEDIA RIGHTS  1",,"Dec 29, 2025"
,,"Frequency Allocation Board,Islamabad, Pakistan  Spectrum  Monitoring System  Spectrum  Monitoring System",,"Dec 3, 2025"
,,"Ministry of Commerce,Faisalabad, Pakistan ENGAGE PRIVATE PARTY TO DESIGN  FGCC PROPERTIES",,"Dec 2, 2025"
